┌ Info: 
│   T = 96
└   R = 1024
[ Info: Saving RMP at iter 10
[ Info: Saving RMP at iter 20
[ Info: Saving RMP at iter 30
[ Info: Saving RMP at iter 40
[ Info: Saving RMP at iter 50
[ Info: Saving RMP at iter 60
MP solver: Gurobi

Iter      Primal Obj.       Dual bound    %Gap     #Cols   Time(s)   BarIter   SpxIter
   0  +2.78444990e+07             -Inf  100.00      1024      0.13         6         3
   1  +9.64877604e+06             -Inf  100.00      1152      1.16        16         7
   2  +2.60784409e+06             -Inf  100.00      1280      2.13        25        10
   3  +7.35718995e+03             -Inf  100.00      1408      3.19        39        16
   4  +7.33235462e+03             -Inf  100.00      1536      4.28        55        19
   5  +7.30945868e+03             -Inf  100.00      1664      5.29        73        33
   6  +7.28485182e+03             -Inf  100.00      1792      6.46        91        46
   7  +7.27680049e+03             -Inf  100.00      1920      7.55       108        53
   8  +7.27169868e+03             -Inf  100.00      2048      8.82       124       120
   9  +7.26356272e+03             -Inf  100.00      2176     10.03       145       192
  10  +7.24899197e+03             -Inf  100.00      2304     11.95       163       206
  11  +7.23366618e+03             -Inf  100.00      2432     13.10       180       213
  12  +7.22812137e+03             -Inf  100.00      2560     14.52       201       301
  13  +7.21759032e+03             -Inf  100.00      2688     15.71       216       314
  14  +7.20290185e+03             -Inf  100.00      2816     17.02       232       320
  15  +7.18885704e+03             -Inf  100.00      2944     18.42       250       353
  16  +7.18040430e+03             -Inf  100.00      3072     19.83       271       411
  17  +7.17497564e+03             -Inf  100.00      3200     21.11       289       419
  18  +7.17144474e+03             -Inf  100.00      3328     22.60       305       449
  19  +7.16849532e+03             -Inf  100.00      3456     23.96       321       522
  20  +7.16383558e+03             -Inf  100.00      3584     26.38       337       657
  21  +7.16241247e+03             -Inf  100.00      3712     27.94       355       680
  22  +7.16032425e+03             -Inf  100.00      3840     29.47       372      1071
  23  +7.15682144e+03             -Inf  100.00      3968     30.91       390      1134
  24  +7.15428941e+03             -Inf  100.00      4096     32.55       405      1465
  25  +7.15162780e+03             -Inf  100.00      4224     34.42       422      1537
  26  +7.14862605e+03             -Inf  100.00      4352     36.04       439      1658
  27  +7.14616146e+03             -Inf  100.00      4480     37.54       458      2204
  28  +7.14475116e+03             -Inf  100.00      4608     39.26       474      2840
  29  +7.14320216e+03             -Inf  100.00      4736     40.73       489      3002
  30  +7.14149656e+03             -Inf  100.00      4864     43.94       506      3826
  31  +7.13906802e+03             -Inf  100.00      4992     45.63       521      3976
  32  +7.13703075e+03             -Inf  100.00      5120     47.43       537      4061
  33  +7.13589984e+03             -Inf  100.00      5248     49.31       553      4372
  34  +7.13485102e+03             -Inf  100.00      5376     51.22       568      5337
  35  +7.13391594e+03             -Inf  100.00      5504     53.09       584      5408
  36  +7.13272965e+03             -Inf  100.00      5632     55.03       602      5500
  37  +7.13181326e+03             -Inf  100.00      5760     56.80       619      5902
  38  +7.13039815e+03             -Inf  100.00      5888     58.78       637      6092
  39  +7.13007391e+03             -Inf  100.00      6016     60.55       653      6840
  40  +7.12941012e+03             -Inf  100.00      6144     64.41       672      7598
  41  +7.12846728e+03             -Inf  100.00      6272     66.53       688      8769
  42  +7.12748633e+03             -Inf  100.00      6400     68.53       706      9354
  43  +7.12697153e+03             -Inf  100.00      6528     70.75       724      9543
  44  +7.12622000e+03             -Inf  100.00      6656     72.94       744      9587
  45  +7.12566408e+03             -Inf  100.00      6784     75.27       761      9797
  46  +7.12491561e+03             -Inf  100.00      6912     77.54       778     10485
  47  +7.12397650e+03             -Inf  100.00      7040     79.73       795     11857
  48  +7.12303924e+03             -Inf  100.00      7168     81.70       812     13184
  49  +7.12257015e+03             -Inf  100.00      7296     84.02       834     13228
  50  +7.12165347e+03             -Inf  100.00      7424     88.48       855     13430
  51  +7.12117569e+03             -Inf  100.00      7552     90.99       874     14529
  52  +7.12061313e+03             -Inf  100.00      7680     93.36       892     14754
  53  +7.11981898e+03             -Inf  100.00      7808     95.97       915     14772
  54  +7.11938044e+03             -Inf  100.00      7936     98.61       940     14796
  55  +7.11895647e+03             -Inf  100.00      8064    101.12       961     14878
  56  +7.11872700e+03             -Inf  100.00      8192    103.76       984     14897
  57  +7.11837192e+03             -Inf  100.00      8320    106.39      1002     16890
  58  +7.11784717e+03             -Inf  100.00      8448    109.24      1024     16961
  59  +7.11733933e+03             -Inf  100.00      8576    111.47      1040     17227
  60  +7.11698190e+03             -Inf  100.00      8704    116.38      1058     18488
  61  +7.11665462e+03             -Inf  100.00      8832    119.29      1079     18528
  62  +7.11632671e+03             -Inf  100.00      8960    121.88      1096     19817
  63  +7.11595954e+03             -Inf  100.00      9088    124.59      1116     22068
  64  +7.11562251e+03             -Inf  100.00      9216    127.30      1135     23539
CG terminated with status SLOW_PROGRESS

Total time / MP: 49.02s
Total time / SP: 67.92s
Total time / CG: 127.30s
Inner barrier iterations: 1135
Inner simplex iterations: 23539
Pricing calls: 9549
